2024-08-18 20:05:04,298 INFO [main]	register protocol:1 success
2024-08-18 20:05:04,342 INFO [main]	register protocol:29 success
2024-08-18 20:05:04,345 INFO [main]	register protocol:4 success
2024-08-18 20:05:04,349 INFO [main]	register protocol:3 success
2024-08-18 20:05:04,350 INFO [main]	register protocol:31 success
2024-08-18 20:05:04,352 INFO [main]	register protocol:28 success
2024-08-18 20:05:04,355 INFO [main]	register protocol:32 success
2024-08-18 20:05:04,356 INFO [main]	register protocol:33 success
2024-08-18 20:05:04,357 INFO [main]	register protocol:30 success
2024-08-18 20:05:04,359 INFO [main]	register load balance factory:RandomLoadBalanceFactory success
2024-08-18 20:05:04,360 INFO [main]	register load balance factory:RoundRobinLoadBalanceFactory success
2024-08-18 20:05:04,360 INFO [main]	register load balance factory:WeightLoadBalanceFactory success
2024-08-18 20:05:04,361 INFO [main]	register load balance factory:FairLoadBalanceFactory success
2024-08-18 20:05:04,368 INFO [main]	create thread:server-work-thread-1
2024-08-18 20:05:04,368 INFO [main]	create thread:server-work-thread-2
2024-08-18 20:05:04,369 INFO [main]	create thread:server-work-thread-3
2024-08-18 20:05:04,370 INFO [main]	create thread:server-work-thread-4
2024-08-18 20:05:04,370 INFO [main]	create thread:server-work-thread-5
2024-08-18 20:05:04,371 INFO [main]	create thread:server-work-thread-6
2024-08-18 20:05:04,371 INFO [main]	create thread:server-work-thread-7
2024-08-18 20:05:04,371 INFO [main]	create thread:server-work-thread-8
2024-08-18 20:05:04,371 INFO [main]	create thread:server-work-thread-9
2024-08-18 20:05:04,371 INFO [main]	create thread:server-work-thread-10
2024-08-18 20:05:04,372 INFO [main]	create thread:server-work-thread-11
2024-08-18 20:05:04,372 INFO [main]	create thread:server-work-thread-12
2024-08-18 20:05:04,405 INFO [main]	use jdk nio event mode
2024-08-18 20:05:04,428 INFO [main]	create thread:timeout-timer-thread-1
2024-08-18 20:05:04,615 WARN [main]	meta file not exist, name=./data/log/metadata
2024-08-18 20:05:04,617 WARN [main]	meta file not exist, name=./data/snapshot/metadata
2024-08-18 20:05:04,699 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftConsensusService, methodName=appendEntries
2024-08-18 20:05:04,701 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftConsensusService, methodName=preVote
2024-08-18 20:05:04,701 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftConsensusService, methodName=requestVote
2024-08-18 20:05:04,703 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftConsensusService, methodName=installSnapshot
2024-08-18 20:05:04,709 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftClientService, methodName=getConfiguration
